ES915055287,"OPTICA LOS ROSALES BERROCAL, 11, LOCAL 2   Madrid 28021 Spain",40.3436184,-3.6758241
ES915170044,"CENTRO OPTICO COLLADO MARTIN VARGAS, 11   Madrid 28005 Spain",40.4034899,-3.7020677
ES915171711,"CLUB VISION PASEO DE YESERIAS, 9   Madrid 28005 Spain",40.4002942,-3.71184
ES915185609,"ALBA OPTICA MAQUEDA, 42   Madrid 28024 Spain",40.3930744,-3.7644056
ES915192508,"PRIMERA OPTICA MORAN   LOPEZ DE HOYOS, 126   Madrid 28002 Spain",40.4444508,-3.6734752
ES915250060,"OPTICA PEREZ ULLOA GENERAL RICARDOS, 165   Madrid 28025 Spain",40.3869615,-3.7337901
ES915251211,"CENTRO OPTICO JILGUERO CAMINO VIEJO DE LEGANES, 167   Madrid 28025 Spain",40.3821198,-3.7302564
ES915261170,"CENTRO OPTICO BOREAL CEBREROS, 98   Madrid 28011 Spain",40.4043359,-3.7499761
ES915286161,"ÓPTICA NÉMESIS   FERROCARRIL, 37   Madrid 28045 Spain",40.4006607,-3.6978858
ES915436671,"CENTRO OPTICO CASTILLO ANDRES MELLADO, 27   Madrid 28015 Spain",40.432886,-3.714609
ES915518470,"OPTICA LA PAZ   VALDERRIBAS, 24   Madrid 28007 Spain",40.404678,-3.6766051
ES915519236,"OPTICA TELLEZ   TELLEZ, Nº 19   Madrid 28007 Spain",40.402537,-3.6796709
ES915545477,"CENTRO GIMENEZ GIL GENERAL MOSCARDO, 32   Madrid 28020 Spain",40.4518468,-3.6964391
ES915547996,"OPTICA AVANZADA GALILEO, 108   Madrid 28015 Spain",40.4398024,-3.7096198
ES915620407,"OPTICA BERLIN CARTAGENA, 121   Madrid 28002 Spain",40.4415964,-3.6752062
ES915694475,"OPTICA CARRERO   CAMINO VIEJO DE LEGANES 115   Madrid 28025 Spain",40.3857056,-3.7277018
ES915734393,"OPTICA BLANES NARVAEZ, 64   Madrid 28009 Spain",40.4185163,-3.6764227
ES915791436,"FARMACIA-OPTICA BRAVO MURILLO, 365   Madrid 28020 Spain",40.4656024,-3.6920876
ES915795248,"OPTICA INFANTA MERCEDES INFANTA MERCEDES, 53   Madrid 28020 Spain",40.4588153,-3.6972706
ES915931112,"C. O. MARTIN ALVELO   SAN BERNARDO, 113   Madrid 28015 Spain",40.432557,-3.705021
ES916049411,"GABINETE OPTICO AROCA AVDA. CAMPO HERMOSO, Nº 13   Madrid 28970 Spain",40.255454,-3.8214306
ES916053321,"ONEVISION   PABLO CASALS, S/N CC.MERCA2   Madrid 28981 Spain",40.4167754,-3.7037902
